Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0053850,0.338929454,0.616507401,1.385686792,0.444911075,0.656384018,0.692543954
FBgn0053853,1.072931259,0.914046436,0.631073963,1.44839827,0.147505698,0.168217873
FBgn0024555,15103.64228,-0.261091266,0.070990872,-3.677814632,0.000235241,0.00030914
FBgn0032453,15493.22842,-0.481331218,0.044317489,-10.86097676,1.77E-27,3.77E-27
FBgn0035461,5011.339693,2.367926111,0.075463684,31.37835286,3.99E-216,7.16E-215
FBgn0035462,1201.861344,-0.472694491,0.049320945,-9.584051753,9.33E-22,1.81E-21
FBgn0030276,20181.16711,-0.445870258,0.028644163,-15.56583293,1.24E-54,3.90E-54
FBgn0035464,5080.771308,-0.962029663,0.046438322,-20.71628821,2.47E-95,1.33E-94
FBgn0037891,28404.32381,1.343820889,0.078736762,17.06726129,2.60E-65,9.40E-65
FBgn0035468,22.14743904,2.375587928,0.411553764,5.772242016,7.82E-09,1.17E-08
FBgn0032692,38.19976042,2.672687896,0.248873793,10.73912951,6.67E-27,1.41E-26
FBgn0020640,315.5284348,-9.503244767,0.947305767,-10.03186627,1.10E-23,2.21E-23
FBgn0020641,62.2277659,-7.288332561,0.689153513,-10.5757751,3.86E-26,8.05E-26
FBgn0020646,0.059626872,-0.917496639,3.999944614,-0.229377336,0.81857565,0.846358433
FBgn0020647,18912.9537,0.279474141,0.05688378,4.913072638,8.97E-07,1.27E-06
FBgn0020644,36298.82133,-14.28636381,0.962941089,-14.83617634,8.55E-50,2.51E-49
FBgn0032693,727.845483,-0.43357361,0.121307327,-3.574174961,0.000351334,0.000458773
FBgn0033602,475.5774514,0.904585985,0.169423114,5.339212374,9.34E-08,1.36E-07
FBgn0033603,2165.046838,9.675143972,0.249954803,38.70757371,0,0
FBgn0033600,1306.772974,-9.054009404,0.517071869,-17.51015661,1.20E-68,4.56E-68
FBgn0033601,9.991282617,4.377223502,0.448495883,9.759785239,1.68E-22,3.28E-22
FBgn0266848,8866.354,-0.961672081,0.07991008,-12.03442774,2.34E-33,5.45E-33
FBgn0266849,45.57654518,-0.819700266,0.261953028,-3.129187981,0.001752901,0.00222756
FBgn0044051,15.58433391,1.261624481,0.321959539,3.918580844,8.91E-05,0.000118686
FBgn0033605,948.6200235,-0.569609632,0.058750717,-9.695364728,3.16E-22,6.16E-22
FBgn0266844,4.082285531,3.459299108,0.786400239,4.398903938,1.09E-05,1.49E-05
FBgn0028416,6372.524401,10.4627613,0.409679559,25.53889025,7.30E-144,6.95E-143
FBgn0033608,6519.65892,0.397428083,0.040144247,9.900000952,4.16E-23,8.25E-23
FBgn0266847,0.250987165,0.795666832,3.16443573,0.251440351,0.801473674,0.830591398
FBgn0266840,3.83734864,1.45999025,0.714317563,2.043895217,0.0409639,0.048654718
FBgn0261813,2.994720862,-3.109091194,0.904524528,-3.437265767,0.000587619,0.000761739
FBgn0028411,2492.616608,-1.259434578,0.070821978,-17.78310374,9.55E-71,3.75E-70
